t_polo,t_poly,t_cot,sleeves,j_light,j_fleece,j_down,shorts,p_thin,p_thick,p_fleece,p_down,temp,sun,headwind,snow,rain,fatigued,hr,feels
1,0,0,0,0,0,1,0,0,0,1,0,25,0,0,0,1,0,70,1
1,0,0,0,0,0,0,0,0,0,1,0,100,0,0,0,0,0,100,1
0,0,1,0,0,0,0,0,1,0,0,0,25,0,0,1,0,0,110,1
0,1,0,0,0,0,0,0,1,0,0,0,-19,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,1,0,0,-17,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,1,0,0,-17,1,1,0,0,0,0,1
0,0,1,0,0,0,1,0,0,1,0,0,-15,1,0,0,0,0,0,1
0,1,0,0,0,0,1,0,0,1,0,0,-16,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,-10,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,1,0,-12,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1,0,0,0,-2,1,0,0,0,0,0,1
0,1,0,0,0,0,0,0,1,0,0,0,-6,1,0,0,0,0,0,1
0,1,0,0,0,0,0,0,1,0,0,0,-3,1,0,0,0,0,0,1
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2
0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,2
0,1,0,0,0,0,0,0,0,0,1,0,-2,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
0,1,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0,2
0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
0,1,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,1,0,1
0,1,0,0,0,0,0,0,1,0,0,0,5,0,0,0,1,0,0,1
0,1,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1,0,0,0,11,1,0,0,0,0,0,2
0,0,1,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,1,0,-4,1,0,0,0,0,0,2
0,0,1,0,0,0,1,0,0,0,1,0,-2,0,0,0,0,0,0,1
0,0,1,0,0,0,1,0,0,0,1,0,-7,0,1,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,1,0,-6,0,1,0,0,0,0,1
0,1,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,0,0,0,1,0,-1,0,0,0,0,0,0,1
0,1,0,0,0,0,0,1,0,0,0,0,-4,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,1,0,-2,1,0,0,0,0,0,2
0,0,1,0,0,0,0,0,0,0,1,0,-4,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,1,0,-4,0,0,0,0,0,0,1
0,0,1,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1
0,0,1,0,0,1,0,0,1,0,0,0,-10,0,0,0,0,0,0,1
0,1,0,0,0,0,1,0,0,0,1,0,-7,1,0,0,0,0,0,2
0,1,0,0,0,0,1,0,0,0,1,0,-14,0,1,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,1,0,-4,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,1,0,-4,1,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,1,0,-11,1,1,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,1,0,-11,0,1,0,0,0,0,1
0,1,0,0,0,0,1,1,0,0,1,0,-9,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,1,0,-11,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,1,0,0,0,-14,0,1,0,0,0,0,1
0,1,0,0,0,0,0,0,1,0,0,0,-10,0,1,0,0,0,0,1
0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0,2
0,0,1,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1,0,0,0,10,1,0,0,0,0,0,2
0,0,1,0,0,0,0,0,1,0,0,0,8,1,1,0,0,0,0,1
0,0,1,0,0,0,0,0,1,0,0,0,9,1,0,0,0,0,0,2
0,0,1,0,0,0,0,0,1,0,0,0,8,1,1,0,0,0,0,1
0,0,1,0,0,1,0,0,1,0,0,0,7,0,0,0,0,0,0,1
0,0,1,0,0,1,0,0,1,0,0,0,6,0,0,0,0,0,0,1
0,1,0,0,0,0,0,1,0,0,0,0,7,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1,0,0,0,7,1,0,0,0,0,0,2
0,0,1,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,1
